Hero,Degree,Betweenness,Closeness,PageRank,Community,Role
"SMITH, JOE",0.0028015564202334632,5.78611343371108e-09,0.374088086422833,6.787151050754635e-05,21,Other
ANCIENT ONE,0.012918287937743191,0.0002950572891831516,0.4433453908830452,0.00028543350585771274,8,Other
DR. STRANGER YET,0.0007782101167315176,0.0,0.35016170273021835,3.588143545746504e-05,8,Other
APPALLA,0.0009338521400778211,2.1356213906196982e-08,0.35189746794533844,3.7881162827330766e-05,8,Other
BLACK KNIGHT V STATU,0.009338521400778212,4.6162613299727047e-05,0.4250582415019336,0.000168760935574349,0,Other
DIABLO/ESTEBAN DE AB,0.026303501945525293,0.0006435105291230639,0.46974857937030834,0.00041506138879644034,3,Other
SUZIE,0.0009338521400778211,5.003682304235568e-09,0.3667231332806546,3.8973537418306737e-05,7,Other
"JONES, MARLO CHANDLE",0.027392996108949418,0.001115929364816834,0.46442178004038415,0.0005220047774174835,7,Other
QUASIMODO,0.011206225680933853,6.153579813835571e-05,0.44747516655102704,0.00019230236957108594,3,Other
HULK III/BRUCE BANNE,0.007315175097276265,4.132972034170023e-07,0.42827794798334656,0.00012405356656100845,0,Other
NOMAD III/JACK MONRO,0.03190661478599222,0.0006566360097052453,0.44961649739729515,0.0005327995951114098,0,Other
"MACLAIN, DR. MYRON",0.005447470817120623,7.980041028394867e-06,0.41810420967316037,0.00010151027307793851,0,Other
MADCAP,0.013073929961089494,4.266033116457077e-05,0.4190915334874099,0.0002111780232369609,0,Other
DEATH ADDER,0.01463035019455253,4.965652085800556e-05,0.4252562851448059,0.00022805967897241222,0,Other
"ROTH, ARNIE",0.010739299610894943,2.9981533944129033e-05,0.4221932483985703,0.00018310726397776638,0,Other
SISTER AGONY,0.005447470817120623,2.98410216308548e-06,0.39095890515332055,0.00010036407089514636,0,Other
SISTER DEATH,0.004202334630350195,2.284248763771199e-06,0.3870509740119685,8.388610680443555e-05,0,Other
SISTER DREAM,0.004202334630350195,2.284248763771199e-06,0.3870509740119685,8.388610680443555e-05,0,Other
MOTHER SUPERIOR,0.006536964980544747,3.172872225488436e-06,0.39060038075536857,0.0001175647007915133,0,Other
SISTER PLEASURE/SCAR,0.0056031128404669265,3.90982505595566e-06,0.3912701591043888,0.0001040894947153807,0,Other
FALCON/SAM WILSON,0.0842023346303502,0.0026000865626577413,0.5079140176496991,0.0012787644678746157,0,Other
BLACK CROW/JESSE BLA,0.012451361867704281,0.000124715817389572,0.4362317648515338,0.00022899547407075453,0,Other
"BURLEY, MIKE",0.004202334630350195,4.171558509586271e-06,0.3835654936672609,9.162103428017888e-05,5,Other
"DOVER, DONNA-LEE",0.0037354085603112843,2.8160399955705776e-06,0.37660185252081135,8.347239670482791e-05,5,Other
KRAA,0.0018677042801556422,0.0,0.3413136614143685,5.387790013206494e-05,5,Other
"COOPER, ROGER CAPS",0.006070038910505837,1.0375304349185553e-05,0.3928338925243215,0.00012081299126731257,5,Other
"RIDER, GLORIA",0.009649805447470818,4.1090922600087874e-05,0.3864189202864137,0.00017450830260079707,5,Other
"JAYE-FIRESTONE, GING",0.007937743190661479,3.462684886466509e-05,0.4280197245270693,0.00014467400844350825,5,Other
"RIDER, ROBERT ROBBIE",0.009961089494163425,2.8155979070546723e-05,0.3818461886215374,0.00018322187777422314,5,Other
"RIDER, CHARLES",0.010428015564202335,7.444508849178094e-05,0.4021305657109494,0.0001866800052656067,5,Other
"DILLON, BERNIE",0.004202334630350195,3.269989461371445e-06,0.3767573079381745,9.194591716808179e-05,5,Other
CONDOR,0.004513618677042802,1.7716138093359084e-06,0.3636961591629512,9.528754261970012e-05,5,Other
POWERHOUSE/RIEG DAVA,0.0056031128404669265,3.884322856374487e-06,0.37130530760827357,0.00011480000963332834,3,Other
SIDEWINDER/SETH VOEL,0.01727626459143969,0.0003872747356641288,0.4330678796187598,0.0003073722876274234,0,Other
PRINCESS PYTHON/ZELD,0.028638132295719848,0.00018399479019990563,0.4653350639486937,0.00043168930999146156,0,Other
CONSTRICTOR/FRANK PA,0.03937743190661479,0.0012546910063098938,0.47378942736489166,0.000606868958550905,0,Other
ARMADILLO/ANTONIO RO,0.011984435797665371,2.7158932963118128e-05,0.4215525486946136,0.00019033545346770336,0,Other
"MALUS, DR. KARL",0.009494163424124515,1.6747319372689374e-05,0.404677630353152,0.00015954603183321423,0,Other
SAYGE,0.004980544747081712,8.42203942593275e-06,0.3835424677641712,0.0001003825755519864,5,Other
SPHINX,0.01509727626459144,9.195593242485915e-05,0.4193941465153974,0.00025461628144601237,5,Other
CAPTAIN MARVEL III/G,0.0221011673151751,0.00242083361281271,0.4198075056190002,0.00042848921201713984,0,Other
NEBULA,0.01914396887159533,0.00032652411664162254,0.45341355673944816,0.00030162223544608156,8,Other
BETA RAY BILL,0.037042801556420236,0.0011352449162971704,0.4684741478234026,0.0005935767280126278,6,Other
BLACKBODY,0.005291828793774319,2.2591002369089125e-05,0.3512011009243384,0.00022286639435979943,10,Other
DARK COUNSEL/VARTU,0.005447470817120623,2.5843245255898672e-05,0.35168439632386,0.00022127989945453386,10,Other
YLA,0.0017120622568093386,0.0,0.34054956708147566,8.946646903935321e-05,10,Other
KHIRN,0.004202334630350195,1.1446957179061008e-06,0.340840246893335,0.0001948232691036908,10,Other
HYNNIT,0.0017120622568093386,0.0,0.34054956708147566,8.946646903935321e-05,10,Other
HARQUIS TEY,0.002957198443579767,5.634512601092208e-07,0.3406948449856324,0.00014606827220222754,10,Other
UNI-LORD,0.005914396887159534,1.9239145943133423e-05,0.351742481172405,0.00024166393248272158,10,Other
CRIX,0.0017120622568093386,0.0,0.34054956708147566,8.946646903935321e-05,10,Other
ALIST,0.0017120622568093386,0.0,0.34054956708147566,8.946646903935321e-05,10,Other
JYX,0.004202334630350195,1.1446957179061008e-06,0.340840246893335,0.0001948232691036908,10,Other
JUSUR,0.0017120622568093386,0.0,0.34054956708147566,8.946646903935321e-05,10,Other
TEI,0.0017120622568093386,0.0,0.34054956708147566,9.022185859773431e-05,10,Other
GRAND OVERSEER,0.0038910505836575876,1.710371127726279e-06,0.34080388478239526,0.00017280057520428362,10,Other
REI,0.0017120622568093386,0.0,0.34054956708147566,9.022185859773431e-05,10,Other
MIBA,0.0017120622568093386,0.0,0.34054956708147566,9.022185859773431e-05,10,Other
FIM,0.0017120622568093386,0.0,0.34054956708147566,9.022185859773431e-05,10,Other
YURGE,0.0017120622568093386,0.0,0.34054956708147566,9.022185859773431e-05,10,Other
"PYRAKH, COMMANDER",0.001245136186770428,0.0,0.34049511980470926,6.93751618417592e-05,10,Other
NURIL,0.001245136186770428,0.0,0.34049511980470926,6.93751618417592e-05,10,Other
IZZIFIZZ,0.0037354085603112843,1.38958050310464e-06,0.34156912205375906,0.00015721073271721345,10,Other
OJANI,0.0038910505836575876,9.678542780450527e-06,0.3510274395920864,0.00015740274026982345,10,Other
TYN-DARMUTH,0.0015564202334630351,0.0,0.34053141605455517,7.971082311375312e-05,10,Other
GRUX,0.0015564202334630351,0.0,0.34053141605455517,7.971082311375312e-05,10,Other
PRADDA FOL,0.004046692607003891,1.5721729002731998e-06,0.34160564765094176,0.00016993541105426435,10,Other
JURIAS,0.0015564202334630351,0.0,0.34053141605455517,7.971082311375312e-05,10,Other
HUNKIR,0.003579766536964981,1.3549826187119687e-06,0.34155086218408875,0.00015152608115723298,10,Other
SKOOKA,0.004357976653696498,1.0993894648314678e-05,0.3510853076170768,0.00017592248494565954,10,Other
VORZEN,0.003579766536964981,8.427837042052364e-06,0.3509888715055521,0.00014296776492367087,10,Other
HYZAKTL,0.002334630350194553,0.0,0.34062219054302734,0.00010347509816035287,10,Other
UR-LINI,0.0038910505836575876,1.0477802376121472e-05,0.3514909186342941,0.00015243642725881984,10,Other
QIRMET,0.003579766536964981,9.467724751991356e-06,0.3514522486393951,0.00013974343122796683,10,Other
STRACU,0.002334630350194553,0.0,0.34062219054302734,0.00010347509816035287,10,Other
UNIT 101101,0.0032684824902723736,9.46488167268788e-07,0.3415143483010244,0.00013693592055541928,10,Other
SZARKUS,0.0018677042801556422,0.0,0.34135013239384326,8.413636505307499e-05,10,Other
HRILL,0.0034241245136186773,4.105133729675585e-06,0.35143291683253924,0.0001345823002336963,10,Other
OUTRIDER/OCLIN UWIR ,0.002490272373540856,1.6136187720033e-07,0.3414230977403711,0.00010783798811259755,10,Other
VYREK,0.006692607003891051,6.719472768759293e-05,0.370422682514817,0.000167645479404417,10,Other
SHAMAN/MICHAEL TWOYO,0.06614785992217899,0.0018917931153587888,0.5026790265944583,0.0009616801326224354,8,Other
OMEGA II,0.0068482490272373546,7.658904642589936e-06,0.41137405370005564,0.00012422074959553533,0,Other
"POWER, MARGARET",0.023190661478599224,0.0004265404422111029,0.45532001339905676,0.000363622125021561,5,Other
"POWER, DR. JIM",0.02521400778210117,0.0004597162166898863,0.45658903937794354,0.0003934941074224098,5,Other
COUNTERWEIGHT/JACK P,0.0311284046692607,0.0006570887749690264,0.4589175713270769,0.00047849856060022466,5,Other
FRIDAY,0.009182879377431907,3.687048797269772e-05,0.38775568538056465,0.00016183190542054003,5,Other
LIGHTSPEED/JULIE POW,0.0311284046692607,0.0006570887749690264,0.4589175713270769,0.00047849856060022466,5,Other
COUNTERWEIGHT II/KAT,0.03284046692607004,0.0006897035137541225,0.45888461021443394,0.0005018225538873511,5,Other
CLOWN/CRAFTY ELIOT F,0.021634241245136188,0.0002040583980406083,0.46227121250383935,0.0003421728738137427,0,Other
LIVEWIRE/RANCE PREST,0.007626459143968872,7.715873385556355e-06,0.41385221065005595,0.0001364565742590657,0,Other
LEADER/SAM STERNS,0.029105058365758756,0.0005863896121226899,0.4778289154151196,0.0004560734419468493,0,Other
"SOMMERS, APRIL",0.0031128404669260703,1.3248664507477548e-06,0.3691172469822384,6.8819100876608e-05,0,Other
ABSORBING MAN/CARL C,0.042801556420233464,0.0010203966902953521,0.47722217119925037,0.0006544784829480433,6,Other
DOC SAMSON/DR. LEONA,0.04731517509727627,0.0010865683084522525,0.49142761541539604,0.0007860307264177784,0,Other
LANN,0.004669260700389106,2.266819656064538e-06,0.3938266922280444,9.239954207692917e-05,0,Other
TYRANNUS,0.017898832684824905,0.00012528466909341734,0.460405738128959,0.0002957770269730449,0,Other
PRINCE REY,0.004669260700389106,2.266819656064538e-06,0.3938266922280444,9.239954207692917e-05,0,Other
KOFI [KYMELLIAN],0.006692607003891051,3.8022618559173916e-05,0.40916109049091026,0.00012283717396812245,5,Other
JARELLA,0.0026459143968871595,2.810289966691462e-07,0.3780279526664436,6.289866330237614e-05,0,Other
PSYKLOP,0.0028015564202334632,6.480986298892254e-07,0.4087684214981167,6.335782937009566e-05,0,Other
STAR-STALKER,0.0062256809338521405,3.950859025379819e-06,0.3946538036948276,0.00011119490286155153,0,Other
NEBULON,0.007159533073929962,6.5888801269674334e-06,0.41573727407701483,0.0001258079169097911,0,Other
"NORRISS, JACK",0.010894941634241246,0.00012447213992673693,0.42983385549082104,0.00018945719395849976,0,Other
CYCLOPS 2013,0.0014007782101167316,0.0,0.3383851717607947,5.490924114165668e-05,4,Other
